record_id,canonical_name,primary_category,modalities,quantity_index,count,unit,scope,evidence_url,evidence_basis,primary,exactness,review_date,notes,catalog_version,catalog_search_cutoff
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,fundus,fundus,1,705,images,Primary quantity reported in the reviewed catalog source,https://figshare.com/s/c2d31f850af14c5b5232,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
adam_challenge,ADAM — Automatic Detection of AMD Challenge,fundus,fundus,1,1200,images,Primary quantity reported in the reviewed catalog source,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,fundus,fundus,1,100,images,Primary quantity reported in the reviewed catalog source,https://data.mendeley.com/datasets/3csr652p9y/2,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
agar300,AGAR300 Microaneurysm Fundus Image Dataset,fundus,fundus,1,28,images,Primary quantity reported in the reviewed catalog source,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
age_challenge,AGE — Angle-Closure Glaucoma Evaluation Challenge (AS-OCT),oct,oct,1,4800,images,Primary quantity reported in the reviewed catalog source,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
airogs,AIROGS: AI for Robust Glaucoma Screening,fundus,fundus,1,113893,images,Primary quantity reported in the reviewed catalog source,https://zenodo.org/records/5793241,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,oct,oct,1,224,volumes,Primary quantity reported in the reviewed catalog source,https://doi.org/10.6084/m9.figshare.30582035.v1,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
amd_sd,AMD-SD: OCT Wet AMD Lesion Segmentation Dataset,oct,oct,1,3049,images,Primary quantity reported in the reviewed catalog source,https://www.kaggle.com/datasets/gaoweihao/amd-sd,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,fundus,fundus,1,2000,images,Primary quantity reported in the reviewed catalog source,https://data.mendeley.com/datasets/yj35kjgrv3/1,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
angioreport,AngioReport Fundus Angiography Report Dataset,multimodal,fundus|fundus_angiography|text,1,55361,images,Primary quantity reported in the reviewed catalog source,https://tianchi.aliyun.com/dataset/170128,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
anterior_segment_smile,Anterior Segment Parameters After SMILE Surgery,tabular,tabular,1,69,eyes,Source-described cohort: 69 eyes from 35 participants,https://doi.org/10.21203/rs.3.rs-8639765/v1,associated_publication,True,exact,2026-08-01,The current Mendeley v1 deposit does not expose an enumerable row count.,0.7.0,2026-08-02
anterior_segment_smile,Anterior Segment Parameters After SMILE Surgery,tabular,tabular,2,35,participants,Source-described cohort,https://doi.org/10.21203/rs.3.rs-8639765/v1,associated_publication,False,exact,2026-08-01,,0.7.0,2026-08-02
aod,AOD: Augmented Ocular Diseases Dataset,fundus,fundus,1,14813,images,Primary quantity reported in the reviewed catalog source,https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
aptos2019,APTOS 2019 Blindness Detection,fundus,fundus,1,3662,images,Primary quantity reported in the reviewed catalog source,https://www.kaggle.com/c/aptos2019-blindness-detection,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
aptos_arcade_onh_masks,APTOS Vascular Arcade and Optic Nerve Head Masks,fundus,fundus,1,500,images,Primary quantity reported in the reviewed catalog source,https://zenodo.org/records/20711325,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
aroi,AROI: Annotated Retinal OCT Images Database,oct,oct,1,1136,images,Primary quantity reported in the reviewed catalog source,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
aroma_octa,AROMA Retinal OCTA Artifact Dataset,octa,octa,1,281,images,Primary quantity reported in the reviewed catalog source,https://doi.org/10.5281/zenodo.18258095,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
as_oct_keratitis,AS-OCT Keratitis Segmentation Dataset,oct,oct,1,1168,images,Primary quantity reported in the reviewed catalog source,https://doi.org/10.6084/m9.figshare.c.7036994.v1,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,fundus,fundus,1,300,images,Four-class image collection,https://data.mendeley.com/datasets/rgwpd4m785/3,official_source_description,True,exact,2026-08-01,,0.7.0,2026-08-02
beh,BEH: Bangladesh Eye Hospital Glaucoma Dataset,fundus,fundus,1,634,images,Primary quantity reported in the reviewed catalog source,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,text,text,1,900,questions,Held-out multiple-choice benchmark,https://belo-dataset.vercel.app/,official_source_description,True,exact,2026-08-01,,0.7.0,2026-08-02
binocular_fundus_images,Binocular Fundus Image Dataset,fundus,fundus,1,2885,image_pairs,"Source reports 2,885 paired binocular fundus samples.",https://doi.org/10.6084/m9.figshare.31981557.v1,official_source_description,True,exact,2026-08-02,Source-stated quantity; repository file count is separate.,0.7.0,2026-08-02
birdshot_wide,Birdshot-WIDE Widefield Fundus Dataset,uwf_fundus,uwf_fundus,1,6352,images,Primary quantity reported in the reviewed catalog source,https://doi.org/10.5281/zenodo.19474623,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
bmrd,Bangladesh Multi-Disease Retinal Dataset,fundus,fundus,1,1786,images,Primary quantity reported in the reviewed catalog source,https://data.mendeley.com/datasets/959whsbc6v/1,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
brasil_glaucoma_brg,Brazil Glaucoma (BrG) Dataset,fundus,fundus,1,2000,images,"Source article reports 2,000 fundus images from 1,000 volunteers.",https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg,official_source_description,True,exact,2026-08-02,Source-stated quantity; repository file count is separate.,0.7.0,2026-08-02
brset,BRSET: Brazilian Multilabel Ophthalmological Dataset,fundus,fundus,1,16266,images,Primary quantity reported in the reviewed catalog source,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
brset_mbrset_embeddings,Embedding-Based Representations for BRSET and mBRSET,tabular,tabular,1,53188,embedding_vectors,Rows across six model-specific CSV files,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,derived_from_reported_components,True,exact,2026-08-01,"Two BRSET files contain 16,266 rows each and four mBRSET files contain 5,164 rows each.",0.7.0,2026-08-02
brset_mbrset_embeddings,Embedding-Based Representations for BRSET and mBRSET,tabular,tabular,2,21430,images,Distinct parent images represented by at least one embedding,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,derived_from_reported_components,False,exact,2026-08-01,"This is 16,266 BRSET plus 5,164 mBRSET images; it is not a new image cohort.",0.7.0,2026-08-02
cadis,CaDIS: Cataract Dataset for Image Segmentation,surgical_video,surgical_video,1,4670,images,Primary quantity reported in the reviewed catalog source,https://cataracts-semantic-segmentation2020.grand-challenge.org/,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
casia_iris_v4,CASIA-IrisV4 Iris Image Database,iris_biometrics,iris_biometrics,1,54601,images,Six CASIA-IrisV4 subsets,https://hycasia.github.io/dataset/casia-irisv4/,official_source_description,True,exact,2026-08-01,,0.7.0,2026-08-02
cataract,Cataract Fundus Classification Dataset,fundus,fundus,1,601,images,Primary quantity reported in the reviewed catalog source,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
cataract101_extended_labels,Cataract-101 Extended Labels,surgical_video,surgical_video,1,101,videos,Cataract-101 videos receiving extended labels,https://zenodo.org/records/4984167,official_source_description,True,exact,2026-08-01,,0.7.0,2026-08-02
cataract1k,Cataract-1K: Large-Scale Cataract Surgery Video Dataset,surgical_video,surgical_video,1,1000,videos,Primary quantity reported in the reviewed catalog source,https://www.synapse.org/#!Synapse:syn53404917,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
cataract_101,Cataract-101: 101 Cataract Surgery Videos with Phase Annotations,surgical_video,surgical_video,1,101,videos,Primary quantity reported in the reviewed catalog source,https://ftp.itec.aau.at/datasets/ovid/cat-101/,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
cataract_lmm,Cataract-LMM: Large-Scale Multi-Source Multi-Task Cataract Surgery Benchmark,surgical_video,surgical_video,1,3000,videos,Primary quantity reported in the reviewed catalog source,https://huggingface.co/datasets/mjahmadi/Cataract-LMM,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
cataracts2017,CATARACTS 2017: Surgical Tool Detection Challenge,surgical_video,surgical_video,1,50,videos,Primary quantity reported in the reviewed catalog source,https://ieee-dataport.org/open-access/cataracts,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
cavri,CAVRI: Computer Analysis of VitreoRetinal Interface Dataset,oct,oct,1,50,volumes,Primary quantity reported in the reviewed catalog source,https://dsp.put.poznan.pl/cavri_database-191/,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
central_retinal_vessel_trunk_oag,Central Retinal Vessel Trunk Open-Angle Glaucoma Dataset,tabular,tabular,1,205,eyes,Source reports 205 open-angle-glaucoma eyes.,https://doi.org/10.1371/journal.pone.0158443.s001,official_source_description,True,exact,2026-08-02,Source-stated quantity; repository file count is separate.,0.7.0,2026-08-02
chaksu,CHAKSU: Multi-Device Glaucoma Fundus Dataset,fundus,fundus,1,1345,images,Primary quantity reported in the reviewed catalog source,https://doi.org/10.6084/m9.figshare.20123135,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
chase_db1,CHASE_DB1: Child Heart and Health Study in England,fundus,fundus,1,28,images,Primary quantity reported in the reviewed catalog source,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,legacy_catalog_field,True,not_assessed,2026-08-01,,0.7.0,2026-08-02
china_fundus_cimt,China Fundus and Carotid Intima-Media Thickness Dataset,fundus,fundus,1,5806,images,PNG fundus images in the current Figshare version 1 deposit,https://doi.org/10.6084/m9.figshare.27907056.v1,current_deposit_file_listing,True,exact,2026-08-02,"The complete current deposit was inspected; both source MD5 values matched and the image archive contained 5,806 PNG files.",0.7.0,2026-08-02
china_fundus_cimt,China Fundus and Carotid Intima-Media Thickness Dataset,fundus,fundus,2,2,deposited_files,Files in the current Figshare version 1 deposit,https://doi.org/10.6084/m9.figshare.27907056.v1,current_deposit_file_listing,False,exact,2026-08-02,The deposit contains one JSON metadata file and one ZIP archive.,0.7.0,2026-08-02
