record_id,canonical_name,item,status,official_source_url,review_date,notes
airogs,AIROGS: AI for Robust Glaucoma Screening,rejected candidate,reviewed_not_a_data_relationship,https://zenodo.org/records/5793241,2026-08-01,The Rotterdam EyePACS name identifies an organization/source site; it does not establish reuse of the cataloged Kaggle EyePACS diabetic-retinopathy data.
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,ARIA,upstream_not_cataloged_or_exact_mapping_unresolved,https://data.mendeley.com/datasets/yj35kjgrv3/1,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,DR_200,upstream_not_cataloged_or_exact_mapping_unresolved,https://data.mendeley.com/datasets/yj35kjgrv3/1,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,Fundus Dataset,upstream_not_cataloged_or_exact_mapping_unresolved,https://data.mendeley.com/datasets/yj35kjgrv3/1,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,BCSC,upstream_not_cataloged_or_exact_mapping_unresolved,https://belo-dataset.vercel.app/,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,BioASQ,upstream_not_cataloged_or_exact_mapping_unresolved,https://belo-dataset.vercel.app/,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,MedMCQA,upstream_not_cataloged_or_exact_mapping_unresolved,https://belo-dataset.vercel.app/,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,MedQA,upstream_not_cataloged_or_exact_mapping_unresolved,https://belo-dataset.vercel.app/,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,PubMedQA,upstream_not_cataloged_or_exact_mapping_unresolved,https://belo-dataset.vercel.app/,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
brset,BRSET: Brazilian Multilabel Ophthalmological Dataset,rejected candidate,reviewed_not_a_data_relationship,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,2026-08-01,BRSET and mBRSET are distinct cohorts; misleading PhysioNet parent-project markup is not treated as data lineage.
casia_iris_v4,CASIA-IrisV4 Iris Image Database,CASIA-IrisV3,upstream_not_cataloged_or_exact_mapping_unresolved,https://hycasia.github.io/dataset/casia-irisv4/,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
cataract_lmm,Cataract-LMM: Large-Scale Multi-Source Multi-Task Cataract Surgery Benchmark,rejected candidate,reviewed_not_a_data_relationship,https://huggingface.co/datasets/mjahmadi/Cataract-LMM,2026-08-01,"The source describes a newly collected two-center cohort, not reuse of another cataloged cataract dataset."
chase_db1,CHASE_DB1: Child Heart and Health Study in England,CHASE study,upstream_not_cataloged_or_exact_mapping_unresolved,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
coph100,COph100: Comprehensive Infant Fundus Image Registration Dataset (RIDIRP),RIDIRP database,upstream_not_cataloged_or_exact_mapping_unresolved,https://doi.org/10.6084/m9.figshare.27061084.v1,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
corn_collection,CORN: Corneal Confocal Microscope Dataset Collection,CORN-1,upstream_not_cataloged_or_exact_mapping_unresolved,https://zenodo.org/records/19689814,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
corn_collection,CORN: Corneal Confocal Microscope Dataset Collection,CORN-2,upstream_not_cataloged_or_exact_mapping_unresolved,https://zenodo.org/records/19689814,2026-08-01,Preserved outside the catalog graph; no target record was invented or substituted.
