record_id,canonical_name,primary_category,catalog_version,catalog_search_cutoff,relationship_review_date,official_source_url,source_check_status,review_outcome,outgoing_relationship_count,outgoing_relationship_types,outgoing_target_record_ids,incoming_relationship_count,incoming_source_record_ids,evidence_urls,external_or_unresolved_sources,rejected_candidate_notes,review_scope,reviewer
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,fundus,0.5.0,2026-08-02,2026-08-02,https://figshare.com/s/c2d31f850af14c5b5232,checked_against_cited_source,confirmed_catalog_relationship,0,,,2,higancnn_generated_glaucoma|mm_retinal_reason,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef|https://www.kaggle.com/datasets/hindsaud/datasets-higancnn-glaucoma-detection,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
adam_challenge,ADAM — Automatic Detection of AMD Challenge,fundus,0.5.0,2026-08-02,2026-08-02,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,fundus,0.5.0,2026-08-02,2026-08-02,https://data.mendeley.com/datasets/3csr652p9y/2,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
agar300,AGAR300 Microaneurysm Fundus Image Dataset,fundus,0.5.0,2026-08-02,2026-08-02,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
age_challenge,AGE — Angle-Closure Glaucoma Evaluation Challenge (AS-OCT),oct,0.5.0,2026-08-02,2026-08-02,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
airogs,AIROGS: AI for Robust Glaucoma Screening,fundus,0.5.0,2026-08-02,2026-08-02,https://zenodo.org/records/5793241,checked_against_cited_source,confirmed_catalog_relationship,0,,,1,smdg,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,,The Rotterdam EyePACS name identifies an organization/source site; it does not establish reuse of the cataloged Kaggle EyePACS diabetic-retinopathy data.,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,oct,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.30582035.v1,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
amd_sd,AMD-SD: OCT Wet AMD Lesion Segmentation Dataset,oct,0.5.0,2026-08-02,2026-08-02,https://www.kaggle.com/datasets/gaoweihao/amd-sd,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,fundus,0.5.0,2026-08-02,2026-08-02,https://data.mendeley.com/datasets/yj35kjgrv3/1,checked_against_cited_source,confirmed_catalog_relationship,3,derived_from,hrf|odir2019|rfmid,0,,https://doi.org/10.17632/yj35kjgrv3.1,ARIA|DR_200|Fundus Dataset,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
angioreport,AngioReport Fundus Angiography Report Dataset,multimodal,0.5.0,2026-08-02,2026-08-02,https://tianchi.aliyun.com/dataset/170128,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
