record_id,canonical_name,official_source_url,catalog_version,catalog_search_cutoff,quantity_review_date,available_nonprimary_quantities,reason
dryad_5xfad_retina_dlgn,5xFAD Retina and dLGN Disease-Model Dataset,https://doi.org/10.5061/dryad.dbrv15fbk,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_acanthamoeba_keratitis_transcriptome,Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,https://doi.org/10.5061/dryad.k3j9kd5fx,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_bbs1_retinal_degeneration,BBS1 Retinal Degeneration Mouse Dataset,https://doi.org/10.5061/dryad.2rbnzs7jm,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_biocular_eye_tracking,Bi-Ocular Vertebrate Eye-Tracking Dataset,https://doi.org/10.5061/dryad.84hc0,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_clcc1_retinitis_pigmentosa,CLCC1 Retinitis Pigmentosa Genomics Dataset,https://doi.org/10.5061/dryad.3vv31qq,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_cone_synapse_computation,Cone Photoreceptor Synapse Dataset,https://doi.org/10.5061/dryad.0p2ngf25g,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,https://doi.org/10.5061/dryad.0gb5mkm9b,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_corneal_biomechanics_prostaglandin,Changes in corneal biomechanical properties after long-term topical prostaglandin therapy,https://doi.org/10.5061/dryad.d35s0,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_corneal_conjunctivitis_biomarker,Corneal Conjunctivitis Biomarker Dataset,https://doi.org/10.5061/dryad.4j0zpc8mm,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_d12d9f,Excitatory neurotransmission activates compartmentalized calcium transients in Müller glia without affecting lateral process motility,https://doi.org/10.6078/d12d9f,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_d1895r,Directed Evolution of AAV for Efficient Gene Delivery to Canine and Primate Retina - Raw counts of variants from deep sequencing,https://doi.org/10.6078/d1895r,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,https://doi.org/10.5068/d1zd5s,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_eye_head_visual_selection,Eye and Head Visual Selection Dataset,https://doi.org/10.5061/dryad.33kh1,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_fundus_venous_pulsation,Fundus Venous Pulsation Sequence Dataset,https://doi.org/10.5061/dryad.56f1h,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_fungal_keratitis_azole_assay,Phase-dependent differential in vitro and ex vivo susceptibility of Aspergillus flavus and Fusarium keratoplasticum to azole antifungals,https://doi.org/10.5061/dryad.bk3j9kdjf,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_glaucoma_lhon_mitochondrial,Glaucoma and LHON Mitochondrial Function Dataset,https://doi.org/10.5061/dryad.2k4v4,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_glaucoma_tears_mirna,Glaucoma Tear miRNA Dataset,https://doi.org/10.5061/dryad.bcc2fqzj1,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_htr1b_mouse_retina,<em>Htr1b</em> is necessary for normal retinal function in mice,https://doi.org/10.5061/dryad.bk3j9kdps,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_huntingtons_retinal_oct,Is retina affected in Huntington's disease? Is optical coherence tomography a good biomarker?,https://doi.org/10.5061/dryad.ncjsxksxr,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_iris_surface_features,Iris Surface Features Dataset,https://doi.org/10.5061/dryad.0kt87,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_j0707ztm,Early removal of senescent cells protects retinal ganglion cells loss in experimental ocular hypertension,https://doi.org/10.6075/j0707ztm,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_macaque_cone_ratio,Rhesus macaque cone ratio heritability,https://doi.org/10.5061/dryad.gf1vhhmsc,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_mouse_all_optical_retina,All-Optical Retinal Degeneration Mouse Dataset,https://doi.org/10.5061/dryad.7q37g6b,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_mouse_oct_beam_tilt,Quantifying the influence of optical coherence tomography beam tilt in the normal adult mouse retina,https://doi.org/10.5061/dryad.95x69p8th,0.4.0,2026-08-01,2026-08-01,[],No reproducible primary item count was exposed for the cataloged source version.
